,context,response,label,explanation
10,"A: 아침에 무엇을 드셨나요?
B: 아, 제육볶음을 먹었습니다.
A: 그런데 그게 아침밥으로 좋은 선택이었을까요? 매운 음식을 아침에 먹는 것은 좋지 않다고 들었는데요.",B: 그래도 제가 제일 좋아하는 음식이라서요.,Non-Sarcasm,"이 대화는 B가 매운 제육볶음을 아침에 먹은 이유를 개인의 취향으로 설명했기 때문에 진지한 의사소통으로 볼 수 있다. A의 질문은 다소 걱정스러운 태도를 담고 있지만, B는 자신의 선호를 명확하게 표현하며 대화를 이어갔다."
11,"B: 그런데 저 몽타주 그림 게임은 뭐죠?
A: 어, 서로가 서로의 얼굴을 그려서 캐릭터를 만들어 가며 게임을 하는 것이에요.
B: 그렇군요. 캐릭터를 찾아다니는 건가요?
A: 네, 맞아요. 예감을 이용해 캐릭터를 찾아다니는 거죠. 한번 시작하면 하루 종일 할 것만 같아요.
B: 하루 종일이요? 그럼 너무 바쁘지 않나요?
A: 바쁘긴 해도, 캐릭터들이 너무 귀여워서 보고 있으면 시간 가는 줄 모르겠어요.
B: 그럼 밤새도록 하는 경우도 있나요?
A: 음, 그럴 수도 있어요. 특히 좋아하는 캐릭터를 찾게 되면 말이죠.","B: 아, 밤새 노력하시는 거 보면 참 훌륭하신 분 같아요.",Non-Sarcasm,이 대화는 두 사람이 게임에 대해 진지하게 설명하고 의견을 나누고 있기 때문에 비꼬거나 풍자하는 부분이 없다. A와 B는 서로의 말을 진지하게 받아들이며 대화를 이어가고 있다.
12,"B: 라테 좋아하니?
A: 응, 맛있더라고. 그래서 이쁜 컵도 사봤어.
B: 오, 어떤 거 사 왔어?
A: 인터넷에서 검색하다가 발견한 디자인이 너무 예뻐서 바로 구매했어.","B: 그렇게 중요한 결정을 바로 내리다니, 대단하다.",Sarcasm,컵이 예쁘다는 이유로 바로 구매한 상황을 실제로는 별로 중요하지 않은 것처럼 비꼬아 말한다.
13,"A: 휴일에는 어떻게 보내시나요?
B: 아무래도 혼자 있는 시간을 좋아해서 주로 혼자 보내곤 합니다.
A: 그렇군요. 혹시 특별히 하시는 활동이 있으신가요?
B: 저는 주로 커피를 한잔 마시면서 책을 읽는 걸 좋아합니다. ","A: 와, 당신의 휴일은 정말로 화려하군요.",Sarcasm,B가 말한 휴일을 혼자서 커피를 마시며 책을 읽는 것이 매우 지루하고 단조로울 것 같은 상황을 더욱 흥미진진하게 보내고 있는 것처럼 비꼬아 말한다.
14,"B: 저는 스마트폰을 새로 업그레이드했습니다. 어떤 모델을 사용하시나요?
A: 저는 아직도 첫 번째 스마트폰을 사용하고 있습니다.
B: 그럼 스마트폰에 대한 업그레이드는 생각해 보지 않으셨나요?","A: 아니요, 저는 이것도 잘 못 다루는데 새로운 것은 더 어려울 것 같아서요.",Non-Sarcasm,"이 대화는 A가 자신의 상황을 진지하게 설명하고 있으며, 스마트폰 업그레이드에 대한 불안감을 솔직하게 표현했기 때문에 non-sarcasm이다. A의 대답은 비꼬기나 풍자가 아닌 자신의 진솔한 생각을 전달하고 있다."
15,"A: 요즘 어떻게 지내세요?
B: 아무래도 일이 많아서 힘들긴 합니다. 하지만 잠을 줄여서라도 끝내려고요.
A: 그렇게 일을 밀어붙이면 건강에 해로우실 것 같은데요.
B: 네, 알고 있습니다. 하지만 졸혼의 힘을 믿고 있습니다.",A: 정말 재미있는 생각이시네요. 자신의 건강을 무릅쓰고 일에 몰두하는 것.,Sarcasm,"B의 말에는 일을 마치기 위해 졸혼의 힘을 믿는다고 하는데, 이것은 실제로 건강에 해롭다는 것을 알면서도 부정적인 행동을 계속하는 것이다. 이것을 긍정적인 방향으로 비꼬아 말한다."
16,"A: 연말 선물 고르는 게 쉽지 않아요. 
B: 그래? 뭐 고민이야?
A: 선물이라는 건 결국 마음이니까. 이것저것 고르다 보면 뭔가 부담스러워져요. ",B: 그럼 그냥 내게 줘. 부담 없애줄게.,Non-Sarcasm,"이 대화에서 A는 선물 고르기의 어려움과 그에 대한 부담을 진지하게 이야기하고, B는 그러한 부담을 덜어주겠다고 진심으로 제안했다. B의 답변은 장난스러운 뉘앙스가 아니라 A의 감정을 이해하고 돕고자 하는 의도를 담고 있다."
17,"A: 어느 디저트를 추천해 주실 수 있으세요?
B: 요즘 크로 풀이 유행이라고 들었습니다. 한 번 드셔보시면 어떨까요?
A: 크로 풀이요? 그게 뭐예요?
B: 크루아상과 와플을 합친 것이라고 보시면 됩니다. 먹으면 입안에서 부드럽게 녹아내립니다.
A: 그래요? 그럼 추천해 주신 크로플 한 번 시도해 볼까요?
B: 네, 좋습니다. 맛과 뷰를 동시에 즐길 수 있는 곳을 알고 있습니다. ","A: 와, 정말 기대되네요. 뷰도 좋고 맛도 좋다니, 이런 곳이 어디에 있을까요?",Sarcasm,"B가 맛과 뷰를 동시에 즐길 수 있는 곳을 알고 있다는 말에, 실제로는 별로 기대하지 않지만 기대된다는 말로 비꼬아 말한다."
18,"A: 이태리에 가본 적 있어?
B: 응, 가본 적 있어. 진짜 멋진 곳이었어.
A: 그럼 좋았겠다. 무슨 좋은 일 있었어?
B: 음... 그건 별로 없었어. 오히려 차별을 많이 받았어.",A: 그래도 차별받아보는 경험은 흥미로웠겠다.,Sarcasm,"실제로는 부정적인 경험이지만, 그 경험을 '흥미로운 체험'이라고 긍정적인 방향으로 비꼬아 말한다."
19,"A: 와, 오늘 진짜 피곤하다.
B: 그러게 말이야. 난 지금 잠이 너무 오네.
A: 왜? 어제 잠을 못 잤어?
B: 아니야, 그냥 항상 잠이 많아.","A: 와, 넌 진짜 대단하다. 그렇게 자도 항상 잠이 오다니!",Sarcasm,"B가 항상 잠이 많다고 했을 때, 그것을 비꼬아 말한다. 실제로는 항상 잠이 많은 것은 부정적인 상황이지만, 이를 긍정적으로 해석하여 반응한다."
20,"B: 오늘 점심은 어떻게 드셨나요?
A: 아, 점심에는 로제 떡볶이를 먹었어요. 국물까지 퍼먹어서 배가 불렀어요.
B: 로제 떡볶이라니, 좋으시네요. 그럼 맛있게 드셨겠군요?","A: 네, 너무 맛있었어요. 다음에 또 먹고 싶네요.",Non-Sarcasm,"이 대화는 서로의 점심에 대한 경험을 공유하고 긍정적인 피드백을 주고받으므로 서로의 감정이나 의견을 진지하게 표현하고 있다. 비꼬거나 풍자의 요소가 없고, 단순한 대화로 이루어져 있다."
21,"B: 요즘에도 여전히 회사에서 모임을 자주 가지시나요?
A: 아니요, 코로나 때문에 모임을 하기가 어렵네요. 대부분 온라인으로 진행하고 있어요.
B: 온라인 모임이라면 더 편하지 않나요? 집에서도 참여할 수 있으니까요.
A: 그렇게 보면 그럴 수 있지만, 직접 만나서 얘기하는 것보다 소통이 어렵네요. 표정이나 몸짓을 볼 수 없어서 말이죠.",B: 그럴수록 상대방의 몸짓과 표정에 신경 쓰지 않고 집중할 수 있겠네요.,Sarcasm,"B가 온라인 모임에서의 소통의 어려움을 표현했을 때, 실제로는 부정적인 상황이지만 이를 긍정적인 방향으로 비꼬아 말한다."
22,"A: 이런 아름다운 가을날, 어떻게 보내고 계십니까?
B: 아무래도 날씨가 좋으니까 밖에 나가서 산책하는 게 최고죠.
A: 그렇습니다. 가을의 상쾌한 공기와 아름다운 단풍을 즐기는 것보다 더 좋은 일이 뭐가 있겠습니까?
B: 그러게요. 하지만 요즘 같은 가을날엔 꽤 추워져서 외출하면서 감기에 걸릴까 봐 걱정되네요.","A: 아, 그렇군요. 아무래도 감기 걱정이 가을의 아름다움보다 더 중요하겠죠.",Sarcasm,"가을의 쾌적함과 아름다움을 즐기기보다 감기 걱정을 더 중요하게 생각하는 상대방의 말에, 실제로는 감기 걱정보다 가을의 매력을 더 중요하게 생각하는 것이 일반적이므로, 이를 비꼬아 말한다."
23,"B: 다이어트를 하신다고 들었는데, 어떻게 하시나요?
A: 네, 저는 소량 다식으로 하고 있어요. 
B: 아하, 저도 그런 방식이 좋다고 생각해요. 
A: 그런데 가끔은 너무 귀찮아서 아예 아무것도 안 먹곤 해요.",B: 그런 자기통제력이 있으시다니 정말 대단하시네요.,Sarcasm,상대방이 귀찮아서 아예 아무것도 먹지 않는다는 말에 대해 이를 자기통제력이 좋은 것처럼 비꼬아 말한다.
24,"A: 오 나의 귀신님 재밌게 보고 있어?
B: 네, 박보영 씨가 너무 예쁘고 연기도 잘해서 빠져서 보고 있어요.
A: 아 그럼, 너도 박보영이랑 같이 촬영하면 재밌겠다.
B: 저는 카메라 앞에서 긴장해서 말도 못 할 것 같아요.","A: 아니, 대사 없는 연기하는 배우가 요즘 핫하잖아.",Non-Sarcasm,"이 대화는 서로의 의견을 진지하게 나누고 있으며, B가 박보영과 함께 촬영하는 것에 대한 자신의 긴장감을 솔직하게 표현하고 있어 진정한 교감이 이루어지고 있다. A의 대답도 B의 걱정에 대한 긍정적인 응답으로, 비꼬는 어조가 없다."
25,"B: 어린이들의 감정을 이해하는 것이 어려운가요?
A: 네, 많은 부모님들이 아이들의 감정을 제대로 이해하는 것이 쉽지 않다고 합니다.
B: 그럼 어떻게 하면 그 문제를 해결할 수 있을까요?
A: 아이들이 자신의 감정을 잘 표현할 수 있도록 돕거나, 전문적인 상담을 받는 것이 도움이 될 수 있습니다.
B: 하지만 상담비용은 부담스러울 수 있죠.
A: 네, 그렇습니다. 상담비용 때문에 필요한 상담을 받지 못하는 경우가 많습니다.","B: 그래도, 돈을 아끼는 데는 도움이 되겠네요.",Sarcasm,상담비용 때문에 필요한 상담을 받지 못하는 경우를 긍정적인 것처럼 비꼬아 말한다.
26,"A: 오늘 퇴근하고 어떤 문화생활을 하실 계획이세요?
B: 아니야, 퇴근하면 바로 집에 가서 편하게 쉬어야지.
A: 저는 퇴근 후에 사진 강의를 듣는 것이 좋더라고요.
B: 그렇구나. 너 사진도 잘 찍어? 그래서 강의 듣고 있니?
A: 사진을 잘 찍지는 못하지만 그래도 배우려고 노력 중이에요.","B: 헐, 사진가가 되겠네.",Non-Sarcasm,"이 대화는 서로의 계획에 대해 진지하게 의견을 나누고 있으며, B가 A의 사진 강의 수강에 대해 진심으로 관심을 보이고 있기 때문에 비꼬는 말이 아닌 진지한 대화로 보인다. A는 자신의 노력에 대해 솔직하게 이야기하고, B는 그에 대해 긍정적으로 반응했다."
27,"B: 최근에 일교차가 심해지면서 감기 걸리는 사람들이 많아졌습니다. 
A: 그러니까요. 감기 예방을 위해 영양제를 꾸준히 섭취하는 것도 중요하겠네요.
B: 네, 그렇습니다. 무엇보다 몸이 건강해야 일상생활을 제대로 할 수 있으니까요.
A: 저는 매일 비타민C와 프로바이오틱스를 섭취하고 있습니다.
B: 정말요? 그런데도 감기에 걸리셨나요?","A: 네, 영양제를 섭취하니까 아프지 않을 줄 알았는데요.",Non-Sarcasm,"이 대화는 두 사람이 실제로 건강과 영양제의 중요성에 대해 진지하게 이야기하고 있으며, A가 자신의 경험을 공유하면서 감기 예방에 대한 기대와 현실 간의 차이를 언급하였기 때문에 non-sarcasm이다."
28,"A: 너 만화 잘 보지?
B: 응. 보는 게 좋아.
A: 뭐 보는데?
B: 'XXX 홀릭'이랑 '츠바사 크로니클'이라는 만화를 보고 있어.
A: 그거 작가가 같아. 'XXX 홀릭'이랑 '츠바사 크로니클'은 둘 다 클램프라는 작가의 작품이야.
B: 그래? 아, 난 그냥 내용이 재미있어서 보는 거였는데. 작가까지 알아야 하나?","A: 그래, 너처럼 만화를 제대로 즐기려면 작가까지 알 필요 없지.",Non-Sarcasm,"이 대화는 상대방의 질문에 대한 직접적인 대답과 정보 교환이 이루어지며, 서로의 취향에 대한 이해를 바탕으로 하여 진지하게 소통하고 있기 때문에 non-sarcasm이다."
29,"B: 우리 결혼한 지도 꽤 오래되었는데 아직도 맞지 않는 부분이 있나요?
A: 네, 어쩔 수 없이 그런 부분이 있죠. 우리 성격이나 취향이 다르니까요.
B: 무엇이 가장 거슬리는 부분인가요?","A: 가장 거슬리는 부분은 아니지만, 제가 밤에 조용히 있고 싶을 때 자주 소음을 내셔서 좀 힘들어요.",Non-Sarcasm,"이 대화는 서로의 문제점에 대해 솔직하게 이야기하고 있으며, 감정이나 불만을 표현하는 방식이 진지하다. 또한, 비꼬는 표현이나 상대를 공격하는 요소가 없기 때문에 non-sarcasm으로 해석된다."
30,"B: 야, 운동 좀 했어?
A: 응, 배구 치고 왔어.
B: 그래? 땀 좀 뺐겠다. 다이어트 음식도 먹고 있어?
A: 그래, 두유 다이어트 중이야. 
B: 진짜? 그런데 두유 좋아하니?
A: 아니, 두유는 별로야. 그냥 다이어트하려고 마시는 거지.","B: 와, 정말 열정적인 사람이네. 싫은 걸 마시면서까지 다이어트하다니!",Sarcasm,B가 두유를 싫어하면서도 두유 다이어트를 하려고 하는 모습에 대해 A가 반대로 긍정적으로 표현하며 비꼬는다.
31,"B: 요즘 날씨가 많이 추워졌다.
A: 그래서 어떻게 해? 
B: 아무래도 따뜻한 옷을 사야겠어.
A: 어디서 살 거야?
B: 인터넷에서 옷을 사 볼까 생각 중이야.","A: 아, 그래. 돈이 너무 많아서 낭비하려고 그러는 거지?",Sarcasm,인터넷에서 옷을 사서 크기가 맞지 않거나 마음에 안 들 경우에 돈이 낭비되는 상황을 비꼬아 말한다.
32,"A: 게임 어떻게 해? 스토리는 괜찮아?
B: 아니, 너무 쉽다니까? 전부 다 했어.
A: 진짜? ""motherlode"" 같은 치트 코드 안 썼어?
B: 아니, 그런 거 안 쓰고 다 했어. 돈이랑 재료 전부 모았어.",A: 와~ 진짜 대단하다. 돈이랑 재료 모으는 것도 너에겐 식은 죽 먹기네.,Non-Sarcasm,"이 대화는 상대방의 성과를 진지하게 칭찬하고 있으며, 비꼬는 어조나 풍자가 전혀 없어서 non-sarcasm이다. A가 B의 능력을 인정하고 감탄하는 모습에서 진정성이 드러난다."
33,"A: 오늘 저녁에 뭘 드셨어요?
B: 아, 저는 피자를 먹었어요. 주변에 건강식이 있는데 그것보다 피자가 싸더라고요.
A: 아, 그래요? 그런데 피자는 기름이 많이 나오지 않나요?
B: 네, 맞아요. 기름이 많이 나오지만 그래도 맛있더라고요.","A: 건강을 위해 기름진 음식을 먹으시다니, 대단하시네요.",Sarcasm,B가 건강식보다 기름진 피자를 선택했다는 것을 긍정적으로 비꼬아 말한다.
34,"B: 오늘 날씨가 많이 춥습니다. 눈이 내리는 것도 보이는군요.
A: 아, 진짜 싫어. 눈이 왜 이렇게 많이 내려? 학교 가는 길이 너무 미끄러워서 걷기 힘들잖아.
B: 아, 그래도 눈이 오면 분위기가 좋아지는 건 사실이잖아요.
A: 분위기 좋다고? 학교 가는 길에서 넘어져서 병원 갈 일 생길까 봐 겁나는데.",B: 그럼 건강검진하는 좋은 기회가 생기겠네요.,Sarcasm,"상대방이 눈 때문에 학교 가는 길에서 넘어질까 봐 걱정하는 것을 무시하고, 넘어지면 병원에 가게 되니 건강 검진을 할 기회가 생긴다는 의미로 비꼬아 말한다."
35,"B: 이름 3, 할머니랑 오랜만에 연락해 봤어?
A: 응, 전화했는데 자꾸 통화가 끊겨서 짜증 나.
B: 그럼 다시 전화해 보면 되지 않아?
A: 다시 전화해 봤는데, 할머니가 전화를 끊어버리셔.",B: 아~ 할머니도 참 장난꾸러기 시네.,Non-Sarcasm,"이 대화는 A가 할머니와의 전화가 원활하지 않은 상황을 진지하게 이야기하고 있고, B도 그런 상황에 공감하며 반응하고 있다. B의 마지막 말은 할머니의 행동을 가볍게 넘기는 것이 아니라, 할머니의 성격에 대한 이해를 표현하고 있어 비꼬는 것이 아니다."
36,"B: 데이트 어떻게 되었나요?
A: 아.. 저희 아내가 김포 아웃렛의 매드포갈릭에 가고 싶다고 했는데, 저는 좀 부담스러워서 그만두었어요.
B: 아, 그래요? 그런데 선물권을 가지고 계신 것 같던데...
A: 네, 그게 맞아요. 하지만 그 선물권을 사용하려고 했지만, 결국 도저히 갈 수 없었습니다.
B: 아.. 그럼 매드포갈릭은 결혼 전에 가본 마지막 외식장소인 건가요?","A: 네, 정말 특별한 기억으로 남을 것 같아요.",Sarcasm,A의 마지막 발언이 조금 부정적인 상황을 나타내고 있습니다. 이에 대한 B의 반응은 비꼬아서 긍정적인 것처럼 표현합니다.
37,"A: 나 오늘 너무 건조해서 목이 계속 마르더라.
B: 그럼 물 좀 많이 마셔봤어?
A: 아니야, 건조하니까 물을 마시면 더 건조해질까 봐 안 마셨어.",B: 그럼 목마를 때 화장실 가는 게 진짜 좋은 방법이겠네.,Sarcasm,"실제로는 건조할 때 물을 많이 마셔야 하는데, 그 반대를 한 상대방의 행동을 비꼬아 말한다."
38,"A: 요즘 모기가 많이 날아다닌다는 소식을 들었는데요, 주의하시는 게 좋을 것 같아요.
B: 네, 알고 있습니다. 모기약도 구비하고 있어요.
A: 그럼 좋네요. 안전한 여름 보내시길 바랍니다.
B: 감사합니다. 그런데, 말씀하시는 동안에 제 팔에 모기가 물렀어요.","A: 오, 당신은 모기를 직접 체험하는군요. 이것이 바로 실천적 학습이지요?",Non-Sarcasm,"이 대화는 A와 B가 모기에 대한 정보를 주고받으며 진지한 대화가 이루어지고 있기 때문에 non-sarcasm이다. B의 상황에 대해 A가 긍정적으로 반응하고, 대화를 이어가려는 의도가 드러나 있다."
39,"B: 생일 축하한다니까, 오늘 밤에 뭐 할 거야?
A: 아무래도 친구들이랑 저녁에 밥 먹고 술 좀 마실 거 같아요.
B: 술 좀 마시겠다, 얼마나 마실 건데?
A: 아마 많이 마시게 될 거 같아요. 다들 제 생일을 축하해 주러 오니까요.",B: 그럼 내일은 정말 행복한 두통을 가질 수 있겠네.,Sarcasm,"B가 생일을 많이 마셔야 할 것 같다는 말에, 실제로는 부정적인 상황인데, 이를 긍정적인 방향으로 비꼬아 말한다."
40,"A: 최근에 어떤 디저트를 가장 좋아하십니까?
B: 저는 요즘 티라미수와 스트로베리 초콜릿 아이스박스 사이에서 고민 중입니다.
A: 두 디저트의 차이점이 무엇인가요?
B: 티라미수는 커피 맛이 강하고 스트로베리 초콜릿 아이스박스는 달콤하면서도 상큼한 맛이 강조되어 있습니다.
A: 그럼 어떤 디저트를 추천해 드릴까요?
B: 어떤 걸 추천해 주실까요?
A: 저는 개인적으로 얼그레이 시폰 케이크를 추천드리고 싶습니다. 향긋한 얼그레이 향과 부드러운 시폰 케이크가 잘 어울립니다.","B: 오, 저에게 얼그레이 시폰 케이크를 추천하시다니, 정말 예상치 못했어요.",Non-Sarcasm,"이 대화는 두 사람이 서로의 선호에 대해 진지하게 이야기하고 있으며, 추천에 대한 반응도 긍정적이고 호기심을 나타내므로 비꼬는 느낌이나 풍자의 요소가 없다."
41,"A: 어, 여기 경주에 왔던 거 같아. 어때 경주는 좋아?
B: 아니 별로야. 단풍도 별로고, 빵도 별로야.
A: 진짜? 나는 경주빵이랑 찰보리빵 먹으러 가려고 했는데.
B: 그런데 여기 맛집도 별로 없어.","A: 와, 다이어트하기 딱 좋겠다!",Sarcasm,"실제로는 맛집이 없다는 부정적인 상황인데, 이 상황을 긍정적인 방향으로 비꼬아 말한다."
42,"B: 너 부자 되면 뭐 할래?
A: 아마 넷플릭스 정기구독할 듯.
B: 그게 너의 부자 되면의 꿈이야?
A: 응, 그리고 돈에 대한 고민 없이 살고 싶어.","B: 아, 그럼 부자가 되면 돈에 대한 고민이 없어질까?",Sarcasm,돈에 대한 고민 없이 살기를 원하는 상대방의 소망을 실제로는 부자가 되도록 돈에 대한 고민을 피할 수 없다는 점을 비꼬아 말한다.
43,"B: 어머니, 오늘 저녁은 무엇을 만드셨나요?
A: 오늘은 냉장고에 있는 재료로 무와 새우가 들어간 국과 배추김치, 간장에 조린 감자, 콩자반을 만들었어.
B: 아, 그렇군요. 무슨 회사의 반찬인가요?
A: 아니야, 집에서 직접 만든 거야. 회사 반찬하고는 좀 다르지?","B: 네, 맞아요. 회사의 반찬이랑 우리 집의 맛이랑은 좀 다르네요.",Non-Sarcasm,"이 대화는 상대방이 직접 만든 음식을 묻고 확인하는 물음과 답변이 오가는 상황으로, 서로의 요리와 집안의 맛에 대한 진지한 의견을 주고받고 있기 때문에 진지하고 직접적인 의사소통이다. 또한, 비꼬는 표현이 없이 단순한 사실 전달과 공감으로 이루어져 있다."
44,"A: 알바 어떻게 찾아? 
B: 주변에 영화관 알바가 없어서 힘들다.
A: 그럼 다른 곳에서 알바를 해보는 건 어때?
B: 아냐, 바쁜 시간대에 아르바이트하기 너무 힘들어. 그래서 집 주변에서만 찾아보고 있어.",A: 그러니까 너무 편하게 살고 있잖아.,Non-Sarcasm,"이 대화는 상대방의 상황에 대해 구체적인 대화를 나누고 있으며, A가 B의 고민을 진지하게 받아들이고 조언을 제공하려는 의도가 드러나기 때문에 비꼬거나 풍자가 아니다. B의 현실적인 어려움에 대해 숙고하는 모습도 나타나 진정한 의사소통으로 보여진다."
45,"A: 배달 음식 주문하셨나요?
B: 네, 그래서 저녁에 좀 먹었어요.
A: 그럼 남은 음식은 어떻게 처리하시나요?
B: 남는 음식이 있으면 다음날 아침에 먹는 편이에요. 근데 맛이 좀 변해서 불편하긴 하죠.","A: 아, 다음날 아침까지 해결되니 좋겠네요.",Non-Sarcasm,A의 대답은 B의 경험에 공감하며 긍정적으로 반응하고 있어 비꼬기나 풍자가 아니라 진지하고 직접적인 의사소통이다. 또한 A는 B의 상황을 배려하는 태도를 보인다.
